topic,argument,tokenized_argument,label
europe,"The US has been able to identify several US citizens who have traveled to the Middle East to train with violent fanatics, and/or who view websites associated with Daesh or Al Queda, and in this way, some very serious violence has been prevented. European nations can use the same intelligence methods to identify European nationals who do likewise. Effective intelligence is more readily attained, than is the change of an entire culture such that we have fewer young males growing up bored and angry.","The US has been able to identify several US citizens who have traveled to the Middle East to train with violent fanatics , and/or who view websites associated with Daesh or Al Queda , and in this way , some very serious violence has been prevented . European nations can use the same intelligence methods to identify European nationals who do likewise . Effective intelligence is more readily attained , than is the change of an entire culture such that we have fewer young males growing up bored and angry .",1
our dreams,"The only kind of dream manipulation we should do is if we are actually in a dream and able to control where it goes. The Senoi Indians believe that our dream state is really the other side of our wakeful state and that the two are equal in importance. I have learned so much from my dreams. They are sometimes frightening, but I see even these as some sort of cathartic experience that I am learning from, albeit perhaps on an unconscious level at times. Dreams can actually help keep us sane. They are a means to process what we may not want or know how to process in our wakeful state. That is why the Senoi made it a practice to discuss their dreams every morning. Sort of like a ""Tell me about your night.""","The only kind of dream manipulation we should do is if we are actually in a dream and able to control where it goes . The Senoi Indians believe that our dream state is really the other side of our wakeful state and that the two are equal in importance . I have learned so much from my dreams . They are sometimes frightening , but I see even these as some sort of cathartic experience that I am learning from , albeit perhaps on an unconscious level at times . Dreams can actually help keep us sane . They are a means to process what we may not want or know how to process in our wakeful state . That is why the Senoi made it a practice to discuss their dreams every morning . Sort of like a "" Tell me about your night . """,1
colorado,. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.,. Do alcohol and marijuana affect some users negatively ? Absolutely . Should minors be allowed to legally consume either one ? No . But the war on drugs is a failure . All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad . I do n't endorse the use of either marijuana or alcohol . But making them illegal protects no one .,1
extreme parenting,"no extreme parenting does not work. Balance is the key. Whatever style a parent engages in with his/her child, a balanced point of view is preferred. I believe the most important variable is to teach children that they can make decisions. When they are young they learn to make choices, albeit small choices, and as they get older the choices become more significant and important. i think the type of parenting described in the book is extreme and not the best path for parents to follow","no extreme parenting does not work . Balance is the key . Whatever style a parent engages in with his / her child , a balanced point of view is preferred . I believe the most important variable is to teach children that they can make decisions . When they are young they learn to make choices , albeit small choices , and as they get older the choices become more significant and important . i think the type of parenting described in the book is extreme and not the best path for parents to follow",0
farms,"I find it hard to believe that Dr. Roberts is a Southerner; if he were he might realize how many of the arguments used to justify the need for illegal labor are so eerily similar to those that were used to justify our own peculiar institution 150  years ago. This does not make American agricultural interests any more evil than antebellum white Southerns were; just shortsighted and maybe a little mule-headed, like Southerners were and often still are. My advice to the American agriculture industry is to look down the road at how you will be viewed decades from now and get on the right side of history while you can.","I find it hard to believe that Dr. Roberts is a Southerner ; if he were he might realize how many of the arguments used to justify the need for illegal labor are so eerily similar to those that were used to justify our own peculiar institution 150   years ago . This does not make American agricultural interests any more evil than antebellum white Southerns were ; just shortsighted and maybe a little mule - headed , like Southerners were and often still are . My advice to the American agriculture industry is to look down the road at how you will be viewed decades from now and get on the right side of history while you can .",0
teachers,"An unfortunate example of agenda setting by the Times. No one argues that less experience would be a plus for a lawyer, a physician, a nurse, a journalist, a policeman, an accountant, or, for that matter, a fry cook. Yet the private education industry's rationale for hiring and retention policies that are clearly driven by minimization of labor costs and maximization of profits is somehow worthy of serious consideration. Similarly, we are asked to believe that talent, expertise, and wisdom in the realm of education is offered by wealthy philanthropists, corporate executives, consultants, and government officials, but not by those who actually teach students. Unfortunately, there's just too much potential profit to made to allow public education in its present form to remain. Teachers will in fact eventually be replaced by semiskilled educational associates who will facilitate delivery of uniform content centrally developed by corporations. Platform standardization will allow content development to be offshored. With any luck, my kids will be finished with school before that day comes.","An unfortunate example of agenda setting by the Times . No one argues that less experience would be a plus for a lawyer , a physician , a nurse , a journalist , a policeman , an accountant , or , for that matter , a fry cook . Yet the private education industry 's rationale for hiring and retention policies that are clearly driven by minimization of labor costs and maximization of profits is somehow worthy of serious consideration . Similarly , we are asked to believe that talent , expertise , and wisdom in the realm of education is offered by wealthy philanthropists , corporate executives , consultants , and government officials , but not by those who actually teach students . Unfortunately , there 's just too much potential profit to made to allow public education in its present form to remain . Teachers will in fact eventually be replaced by semiskilled educational associates who will facilitate delivery of uniform content centrally developed by corporations . Platform standardization will allow content development to be offshored . With any luck , my kids will be finished with school before that day comes .",1
extreme parenting,"In all the essays here there is not one mention of raising a compassionate, kind, spiritually aware child. Ms. Chua can keep her horrible parenting style to herself. Her children may be able to play an instrument and get A, but what do they really contribute to our society as human beings and not heavily programmed robots?","In all the essays here there is not one mention of raising a compassionate , kind , spiritually aware child . Ms. Chua can keep her horrible parenting style to herself . Her children may be able to play an instrument and get A , but what do they really contribute to our society as human beings and not heavily programmed robots ?",0
tfa,"One of the most important contributions to US education from TFA alumni has not been mentioned by any of the contributors to this discussion. The TFA alumni who leave teaching for other careers retain their knowledge of the real conditions of poor children and their schools. They can and do give voice to those realities in political debates and can counter the many (often willfully) ignorant claims of opponents of public education. Just as Peace Corp volunteers are a source of reality about the Third World, so TFA alumni can and do continue to advocate for poor children and their schools when they become investment bankers, lawyers, or other high earners. Such advocacy doesn't direct benefit the children they taught, but it will benefit public education. TFA recognizes that we need to change the political debate over public education as much as we need to get top graduates into schools as teachers. Rather than harp on the limits of TFA, we should recognize that Wendy Kopp has found a way to move politics in a progressive direction and spend our efforts applying its lessons to other areas of public policy and politics.","One of the most important contributions to US education from TFA alumni has not been mentioned by any of the contributors to this discussion . The TFA alumni who leave teaching for other careers retain their knowledge of the real conditions of poor children and their schools . They can and do give voice to those realities in political debates and can counter the many ( often willfully ) ignorant claims of opponents of public education . Just as Peace Corp volunteers are a source of reality about the Third World , so TFA alumni can and do continue to advocate for poor children and their schools when they become investment bankers , lawyers , or other high earners . Such advocacy does n't direct benefit the children they taught , but it will benefit public education . TFA recognizes that we need to change the political debate over public education as much as we need to get top graduates into schools as teachers . Rather than harp on the limits of TFA , we should recognize that Wendy Kopp has found a way to move politics in a progressive direction and spend our efforts applying its lessons to other areas of public policy and politics .",1
sports program in undergraduate schools,"I taught at a couple universities. Often I'd be asked by parents of college age kids about where to send their kids. My quick response was usually, ""send them North to a school that does not have a winning football team. Poor athletics departments usually means better funding for everything else.""","I taught at a couple universities . Often I 'd be asked by parents of college age kids about where to send their kids . My quick response was usually , "" send them North to a school that does not have a winning football team . Poor athletics departments usually means better funding for everything else . """,0
vaccination,"I see a complete idiocy surrounding rejection of vaccinations made worse by foolish false statements on the internet and in the media. And this idiocy is compounded by the paucity of early science education. Children should be taught the history of preventing disease from a very early age. The history vaccination, beginning with Jenner and smallpox vaccination, is a good place to begin. Lessons about are herd immunity necessary too. Just one person being vaccinated isn't enough. Unfortunately, I first learned about this as a very young child when I was hospitalized with polio right before the Salk vaccine began to be used. You want that for your child?","I see a complete idiocy surrounding rejection of vaccinations made worse by foolish false statements on the internet and in the media . And this idiocy is compounded by the paucity of early science education . Children should be taught the history of preventing disease from a very early age . The history vaccination , beginning with Jenner and smallpox vaccination , is a good place to begin . Lessons about are herd immunity necessary too . Just one person being vaccinated is n't enough . Unfortunately , I first learned about this as a very young child when I was hospitalized with polio right before the Salk vaccine began to be used . You want that for your child ?",1
israel,"The israelis have a strong conviction that they are the chosen ones and are entitled to zion and to all the support provided by the US. They do not appreciate what is given to them by the US, but expect it. They hate the arabs, just look at the recent 'lynching' of palestinian by israeli youth. Reminds me of the US before civil rights laws were enacted. When will the civil rights of non-Jews be respected in Israel? When it ceases to be theocracy (never).","The israelis have a strong conviction that they are the chosen ones and are entitled to zion and to all the support provided by the US . They do not appreciate what is given to them by the US , but expect it . They hate the arabs , just look at the recent ' lynching ' of palestinian by israeli youth . Reminds me of the US before civil rights laws were enacted . When will the civil rights of non - Jews be respected in Israel ? When it ceases to be theocracy ( never ) .",0
vaccination,"The problem is the cost of non-vaccination is not borne by the dissenting parents, but by the sickened and possibly dead injured by the loss of herd immunity. If someone does not want their children to be vaccinated, that person should be required to post a bond to cover the potential damages. A bond should also be required by individuals claiming religious exemptions.","The problem is the cost of non - vaccination is not borne by the dissenting parents , but by the sickened and possibly dead injured by the loss of herd immunity . If someone does not want their children to be vaccinated , that person should be required to post a bond to cover the potential damages . A bond should also be required by individuals claiming religious exemptions .",1
office layout,"This is hardly a 'first generation' problem. For jobs requiring quiet and deep immersion in thought, an open plan can be the kiss of death. Almost thirty years ago temporary removal of cubicle walls in my IT department created chaos. It sometimes takes quite a bit of time to mentally drill down to the core of a problem. The constant distractions, visual and aural, of a badly designed open plan can, in a moment, put you right back in square one. Repeat until end of day, every day, and see how productive you are.","This is hardly a ' first generation ' problem . For jobs requiring quiet and deep immersion in thought , an open plan can be the kiss of death . Almost thirty years ago temporary removal of cubicle walls in my IT department created chaos . It sometimes takes quite a bit of time to mentally drill down to the core of a problem . The constant distractions , visual and aural , of a badly designed open plan can , in a moment , put you right back in square one . Repeat until end of day , every day , and see how productive you are .",1
kids at home,"These obstetricians condescendingly say they even ""have a midwife teach our residents at NewYork-Presbyterian. "" This is like the racist or homophobe who says ""I have a Black friend / Gay cousin"". These men make their living by insisting that birth requires hospitalization and surgical intervention, so their opinions are not without bias. Anyway, all three of my children - the youngest is 31 and was born at home with a nurse midwife attending- are doing nicely. Thanks for your concern, doctors.","These obstetricians condescendingly say they even "" have a midwife teach our residents at NewYork - Presbyterian . "" This is like the racist or homophobe who says "" I have a Black friend / Gay cousin "" . These men make their living by insisting that birth requires hospitalization and surgical intervention , so their opinions are not without bias . Anyway , all three of my children - the youngest is 31 and was born at home with a nurse midwife attending- are doing nicely . Thanks for your concern , doctors .",1
marijuana,"Sorry, don't buy it. Robert L. DuPont profits off of reforming addicts (and their testing), so of course he wants us to believe this rheoretic. I know dozens of people who smoke marijuana, not one heroin addict in that mix. I guess with this logic we can say milk is a gateway to vodka.","Sorry , do n't buy it . Robert L. DuPont profits off of reforming addicts ( and their testing ) , so of course he wants us to believe this rheoretic . I know dozens of people who smoke marijuana , not one heroin addict in that mix . I guess with this logic we can say milk is a gateway to vodka .",1
