topic,argument,tokenized_argument,label
veganism,Ms Nina Planck ...stated Nature created humans as omnivores....which seem to be she has a direct connection to god but eventually its never true .. then let me tell why we called Human being the most intelligent creature on earth ??? because we can judge which is good for us with the sense of humor if this is not hold rue then we would rather called our self animals..Eating flesh is a not kind of human behavior because we lost our humanity and develop a attitude like animal.Animal do sex so do we however they do not know with whom they slept with on contrary we know.So vegan-ism diet which pure and lucid and it has many more advantage over non-veg-ism as so many has suggested. I am not a spiritual guru who talks about spirituality.But yes we can grow up our kid even with the veg intake that will lead his/her to be better and healthy person.,Ms Nina Planck ... stated Nature created humans as omnivores .... which seem to be she has a direct connection to god but eventually its never true .. then let me tell why we called Human being the most intelligent creature on earth ? ? ? because we can judge which is good for us with the sense of humor if this is not hold rue then we would rather called our self animals .. Eating flesh is a not kind of human behavior because we lost our humanity and develop a attitude like animal . Animal do sex so do we however they do not know with whom they slept with on contrary we know . So vegan - ism diet which pure and lucid and it has many more advantage over non - veg - ism as so many has suggested . I am not a spiritual guru who talks about spirituality . But yes we can grow up our kid even with the veg intake that will lead his / her to be better and healthy person .,1
their children,"Growing up, I was always a high academic achiever. Still, I always asked my parents to proofread my work before turning it in. Those evenings in which my parents edited at my side turned out to improve my writing so much more than my teachers ever could. That one-on-one, painstakingly specific instruction taught me that active voice is preferable to passive and that there is a difference between formal, academic essays and casual, creative writing. Just because my parents helped me craft an essay didn't mean I didn't learn to become a better writer from that experience, and it certainly didn't make me dependent on them throughout my life. My younger sister, on the other hand, resisted their help, preferring to do her work alone. She became an exceptional writer and went to a great school. In the end, each kid has different needs. I don't think you can make a blanket statement saying ""all parents should do this"" or ""all homework help (or homework, for that matter) is counterproductive.""","Growing up , I was always a high academic achiever . Still , I always asked my parents to proofread my work before turning it in . Those evenings in which my parents edited at my side turned out to improve my writing so much more than my teachers ever could . That one - on - one , painstakingly specific instruction taught me that active voice is preferable to passive and that there is a difference between formal , academic essays and casual , creative writing . Just because my parents helped me craft an essay did n't mean I did n't learn to become a better writer from that experience , and it certainly did n't make me dependent on them throughout my life . My younger sister , on the other hand , resisted their help , preferring to do her work alone . She became an exceptional writer and went to a great school . In the end , each kid has different needs . I do n't think you can make a blanket statement saying "" all parents should do this "" or "" all homework help ( or homework , for that matter ) is counterproductive . """,1
home schoolers,"Although I have no idea what studies show about home schooled kids, I do know that, having hired two of them, my impression is not favorable. Both were prima donnas who spent a lot of time complaining about work rules, who thought that they should be able to change work processes to suit them, and who resorted to crying and making scenes to try and get their way with co-workers. The public school system was established primarily as a benefit to society, not just the individual child. That is why we all pay taxes to the schools whether we have kids or not. If people want to take their children out, so be it -- but they still still have their obligation to support the schools.","Although I have no idea what studies show about home schooled kids , I do know that , having hired two of them , my impression is not favorable . Both were prima donnas who spent a lot of time complaining about work rules , who thought that they should be able to change work processes to suit them , and who resorted to crying and making scenes to try and get their way with co - workers . The public school system was established primarily as a benefit to society , not just the individual child . That is why we all pay taxes to the schools whether we have kids or not . If people want to take their children out , so be it -- but they still still have their obligation to support the schools .",0
research papers,"The growth of technology does not negate the necessity for research papers and essays. When I taught high school English, the primary goal of the assignment was the development of the students' analytical/critical thinking skills. As the abundance of information increased on the Internet, my instruction included a discussion of acceptable sites for use in the preparation of a paper. As Matt, # 9, said, the problems described by Mr. Bauerlein would not occur with a carefully designed assignment. As for student use of cutting and pasting, in many high schools, students are required to submit papers electronically using a site, such as Turnitin.com, that identifies passages that students may have copied..","The growth of technology does not negate the necessity for research papers and essays . When I taught high school English , the primary goal of the assignment was the development of the students ' analytical / critical thinking skills . As the abundance of information increased on the Internet , my instruction included a discussion of acceptable sites for use in the preparation of a paper . As Matt , # 9 , said , the problems described by Mr. Bauerlein would not occur with a carefully designed assignment . As for student use of cutting and pasting , in many high schools , students are required to submit papers electronically using a site , such as Turnitin.com , that identifies passages that students may have copied ..",1
a tax break,"May I ask why a Federal Tax Credit is requested for those who home-school when education is a State-based function. States, counties, cities collect the property, sales, and other local taxes and assessments which fund the local public schools, libraries, playgrounds, parks, and many other community-based educational and cultural resources. I am puzzled that those who so ardently shout for the preservation of States Rights seem to be inviting the Federal Government into their home to demand oversight of their children's school curriculum and evaluate their performance. Am I missing something here or is there some kind of shuffle going on. I can see the validity of home-schooling or private schooling families requesting an allowance from local and state taxes where control of the costs and expenses for the vast majority of education resides. No nanny Federal Government for those who choose to do things their own way. And no Federal subsidy for their right to choose.","May I ask why a Federal Tax Credit is requested for those who home - school when education is a State - based function . States , counties , cities collect the property , sales , and other local taxes and assessments which fund the local public schools , libraries , playgrounds , parks , and many other community - based educational and cultural resources . I am puzzled that those who so ardently shout for the preservation of States Rights seem to be inviting the Federal Government into their home to demand oversight of their children 's school curriculum and evaluate their performance . Am I missing something here or is there some kind of shuffle going on . I can see the validity of home - schooling or private schooling families requesting an allowance from local and state taxes where control of the costs and expenses for the vast majority of education resides . No nanny Federal Government for those who choose to do things their own way . And no Federal subsidy for their right to choose .",0
home-schoolers,"It does not matter that parents who home school may pay just as much into the school system as other families. People without children pay as well and don't think this authorizes them to use the library or recreational facilities. In addition, supporting a school is not just about paying taxes. Parents who home school because they don't think public schools are good enough for their offspring weaken the very fabric of the public school system and should not seek to benefit from it. If it's not good enough for English and Math, it's not good enough for sports. (Of course, this should not apply to children who are home schooled because of special needs.)","It does not matter that parents who home school may pay just as much into the school system as other families . People without children pay as well and do n't think this authorizes them to use the library or recreational facilities . In addition , supporting a school is not just about paying taxes . Parents who home school because they do n't think public schools are good enough for their offspring weaken the very fabric of the public school system and should not seek to benefit from it . If it 's not good enough for English and Math , it 's not good enough for sports . ( Of course , this should not apply to children who are home schooled because of special needs . )",0
more serious crime,"Citations rather than arrests for minor crimes still make a lot of sense. But I'm not sure that would have helped here---the guy who commits the same crimes over and over, and resists arrest, is likely to fail to appear in court, and then you're stuck with arrest as a solution. Ultimately, if the perceived price to the individual of defying or ignoring the law is lower than the benefits they think they get from breaking the law, you have a big problem.","Citations rather than arrests for minor crimes still make a lot of sense . But I 'm not sure that would have helped here --- the guy who commits the same crimes over and over , and resists arrest , is likely to fail to appear in court , and then you 're stuck with arrest as a solution . Ultimately , if the perceived price to the individual of defying or ignoring the law is lower than the benefits they think they get from breaking the law , you have a big problem .",0
companies,"He seems not to understand or care about the damage done without accountability to the regulations, i.e. he's got the trust, but forgotten the verify. Without verification, regulations don't matter very much. With verification, inspection etc, you have something; without you'll just get cheating regardless of the regulations. What we need is more inspectors and independent verification regimes - funded by the industries involved.","He seems not to understand or care about the damage done without accountability to the regulations , i.e. he 's got the trust , but forgotten the verify . Without verification , regulations do n't matter very much . With verification , inspection etc , you have something ; without you 'll just get cheating regardless of the regulations . What we need is more inspectors and independent verification regimes - funded by the industries involved .",0
schoold,"Our son attends 1st grade in a charter school with a longer school day. It was a tough adjustment at first, but the rewards are already evident. He has math, language arts, science, history, art, and music Every Day. He has recess twice a day   lunch. But best of all, he has incredibly enthusiastic teachers and administrators. His reading skills have already markedly improved and he is excited to keep learning. We couldn't be happier with the education he is receiving.","Our son attends 1st grade in a charter school with a longer school day . It was a tough adjustment at first , but the rewards are already evident . He has math , language arts , science , history , art , and music Every Day . He has recess twice a day    lunch . But best of all , he has incredibly enthusiastic teachers and administrators . His reading skills have already markedly improved and he is excited to keep learning . We could n't be happier with the education he is receiving .",1
extreme parenting,"It would seem that Ms. Sun and parents that express a similar style or view of parenting ignore the primary goal of child raising that of having a reasonably happy child. The emphasis solely seems to be that of raising and exceptional child with varied skills and academic achievements presumably so that they are financially successful. As a teacher friend of mine once observed to me, exceptional children (students) comprise a very small percentage of any given class that he taught and that most students were average or a bit above average in their intellectual abilities and creative talents. A small percentage was below average. Is it any wonder we have raised generations of children who think that they are special, entitled and dependent on mood altering drugs. It is perfectly okay to be a plain ordinary good human being. In our present economic conditions most of us know or are aware of twenty somethings of various skill levels and educational achievements who have moved back home with their parents because they cannot find employment. Maybe this humbling experience will teach some of them that they were sold a bill of goods by their narcissistic parents.","It would seem that Ms. Sun and parents that express a similar style or view of parenting ignore the primary goal of child raising that of having a reasonably happy child . The emphasis solely seems to be that of raising and exceptional child with varied skills and academic achievements presumably so that they are financially successful . As a teacher friend of mine once observed to me , exceptional children ( students ) comprise a very small percentage of any given class that he taught and that most students were average or a bit above average in their intellectual abilities and creative talents . A small percentage was below average . Is it any wonder we have raised generations of children who think that they are special , entitled and dependent on mood altering drugs . It is perfectly okay to be a plain ordinary good human being . In our present economic conditions most of us know or are aware of twenty somethings of various skill levels and educational achievements who have moved back home with their parents because they can not find employment . Maybe this humbling experience will teach some of them that they were sold a bill of goods by their narcissistic parents .",0
kids at home,"This is a wonderful article. I have had 3 births, the first 2 were in the hospital, and my 3rd was at home. I had awful experiences in the hospital with feeling like my freedom was taken away. I felt like I was shackled to the bed from the moment I walked in. My home birth was by far the best decision I have ever made. The experience is almost indescribable. Don't get me wrong, my first 2 births are special to me only because it was the moment my beautiful children came into this world. I just wish I knew then what I know now. With my home birth, I had an absolutely wonderful midwife who monitored me, but also aloud me to have control and let my body do what it was meant to do: give birth. Pregnancy is not a sickness, and I refuse to allow it to be treated as such.","This is a wonderful article . I have had 3 births , the first 2 were in the hospital , and my 3rd was at home . I had awful experiences in the hospital with feeling like my freedom was taken away . I felt like I was shackled to the bed from the moment I walked in . My home birth was by far the best decision I have ever made . The experience is almost indescribable . Do n't get me wrong , my first 2 births are special to me only because it was the moment my beautiful children came into this world . I just wish I knew then what I know now . With my home birth , I had an absolutely wonderful midwife who monitored me , but also aloud me to have control and let my body do what it was meant to do : give birth . Pregnancy is not a sickness , and I refuse to allow it to be treated as such .",1
israel,I am simply stunned that the pro Israeli lobby does not grasp that Americans do not want to fight a war with Iran in support of a right wing Israeli government that simply does what it wants to do regardless of the consequences. It is that lobby and the right wing extremist in Isreal who are jeopardizing the Israeli American alliance. Simply stated I do not want my son to die in a war created by Netanyau to support his radical agenda. If Israel strikes at Iran before the election to force Obama's hand their will be an anti Israeli firestorm in the US. The main casualty will be Isreali US relations which may never recover. Isrealis and their US lobby should not assume that a few fringe religious fanatics in the US speak for the majority of Americans,I am simply stunned that the pro Israeli lobby does not grasp that Americans do not want to fight a war with Iran in support of a right wing Israeli government that simply does what it wants to do regardless of the consequences . It is that lobby and the right wing extremist in Isreal who are jeopardizing the Israeli American alliance . Simply stated I do not want my son to die in a war created by Netanyau to support his radical agenda . If Israel strikes at Iran before the election to force Obama 's hand their will be an anti Israeli firestorm in the US . The main casualty will be Isreali US relations which may never recover . Isrealis and their US lobby should not assume that a few fringe religious fanatics in the US speak for the majority of Americans,0
extreme parenting,"Since my son is autistic, my husband and I have had to put aside the typical parenting hopes of a child becoming a Nobel laureate, President of the United States, or Oscar winner. And yet, we are the better for it - each child has their own different level of achievement. I couldn't push him to achieve even if I wanted to, and I am glad that I have learned the folly of that desire so early.","Since my son is autistic , my husband and I have had to put aside the typical parenting hopes of a child becoming a Nobel laureate , President of the United States , or Oscar winner . And yet , we are the better for it - each child has their own different level of achievement . I could n't push him to achieve even if I wanted to , and I am glad that I have learned the folly of that desire so early .",0
overcrowding,"I used to teach Quantitative Reasoning. One of the databases we used to analyze was birth rate by country. That was over ten years ago, but it showed my students how high birth rates would become unsustainable in small countries without similar economic growth rates. The same countries we identified as problems back in that course are in the center of the refugee and problematic youth crises now. Just divide the birth rate (in percentage) into 70 and you get the population doubling time. How can an economically stressed country every imagine handling the doubling of its population in less than a generation? It doesn't make any sense to talk about overall wealth in the world, either, when people have no realistic prospect of any future access to it without migrating. I would try migrating too if I were in such a country.","I used to teach Quantitative Reasoning . One of the databases we used to analyze was birth rate by country . That was over ten years ago , but it showed my students how high birth rates would become unsustainable in small countries without similar economic growth rates . The same countries we identified as problems back in that course are in the center of the refugee and problematic youth crises now . Just divide the birth rate ( in percentage ) into 70 and you get the population doubling time . How can an economically stressed country every imagine handling the doubling of its population in less than a generation ? It does n't make any sense to talk about overall wealth in the world , either , when people have no realistic prospect of any future access to it without migrating . I would try migrating too if I were in such a country .",0
jerusalem,"I do not follow this logic, to capitulate to the demands of those that threaten violence. Sounds Chamberlain-esque to me. Jerusalem is the historic capital of Israel, the US is finally correct under the next administration to move the embassy to Jerusalem.","I do not follow this logic , to capitulate to the demands of those that threaten violence . Sounds Chamberlain - esque to me . Jerusalem is the historic capital of Israel , the US is finally correct under the next administration to move the embassy to Jerusalem .",1
affirmative actions,"The author is correct to observe that ""...racial disparities remain alarmingly wide."" But there is no evidence to suggest that affirmative action can change that. Affirmative action is quite likely part of the problem, not the solution. It insults blacks and hispanics and breeds resentment in others. Let's stop discriminating against people because of their skin color and let's increase opportunity for everyone in our society, especially for those at the bottom of the economy.","The author is correct to observe that "" ... racial disparities remain alarmingly wide . "" But there is no evidence to suggest that affirmative action can change that . Affirmative action is quite likely part of the problem , not the solution . It insults blacks and hispanics and breeds resentment in others . Let 's stop discriminating against people because of their skin color and let 's increase opportunity for everyone in our society , especially for those at the bottom of the economy .",0
a legitimate threat,The world already has too many people. One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living. A good example of overpopulation is Haiti. Haitian have too many babies. Their people try to migrate to other countries who spend resources to find such immigrants and deport them.,The world already has too many people . One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living . A good example of overpopulation is Haiti . Haitian have too many babies . Their people try to migrate to other countries who spend resources to find such immigrants and deport them .,0
public preschool,"There is a similar system in the UK. All children aged 3 and upwards are entitled to 15 hours of preschool / nursery per week. This ensures that children are well-socialized and exposed to group environments before they start school, which is at the age of 4 / turning 5 in the UK. Another option for the US would be to just lower the school starting age. In my state, California, the cut-off date for children starting kindergarten is September 1st. As my son's birthday is in October, this means he will be almost 6 years old before he is in any kind of group learning or social environment (unless we decide to put him preschool of course). Why not lower the kindergarten age by a year instead of starting a preschool program? The sooner children learn to deal with a group environment and the joy of learning, the better.","There is a similar system in the UK . All children aged 3 and upwards are entitled to 15 hours of preschool / nursery per week . This ensures that children are well - socialized and exposed to group environments before they start school , which is at the age of 4 / turning 5 in the UK . Another option for the US would be to just lower the school starting age . In my state , California , the cut - off date for children starting kindergarten is September 1st . As my son 's birthday is in October , this means he will be almost 6 years old before he is in any kind of group learning or social environment ( unless we decide to put him preschool of course ) . Why not lower the kindergarten age by a year instead of starting a preschool program ? The sooner children learn to deal with a group environment and the joy of learning , the better .",0
marijuana,"If you'd like to call marijuana a gateway drug, then you'll have to include tobacco and alcohol, too.... also indicators. Why don't lets focus our attention on solving real problems. This country doesn't have a marijuana problem, and just because there's a correlation between people addicted to harder drugs like alcohol and painkillers who also smoke pot doesn't make it pot cause. If we have time and energy and resources, let's work on the drugs we know are dangerous and lets work on general education about addiction. Diverting our attention and energies from epidemic-level heroin use, for example, or from teaching about addiction generally to instead focus on marijuana specifically is worse than pointless, it will cost lives.","If you 'd like to call marijuana a gateway drug , then you 'll have to include tobacco and alcohol , too .... also indicators . Why do n't lets focus our attention on solving real problems . This country does n't have a marijuana problem , and just because there 's a correlation between people addicted to harder drugs like alcohol and painkillers who also smoke pot does n't make it pot cause . If we have time and energy and resources , let 's work on the drugs we know are dangerous and lets work on general education about addiction . Diverting our attention and energies from epidemic - level heroin use , for example , or from teaching about addiction generally to instead focus on marijuana specifically is worse than pointless , it will cost lives .",1
electric cars,"I wish people be positive about innovating solutions like these for cars. We have to start somewhere! This invention might have it's flaws but so did the first car and the first airplane and so on. We have to give inventions of this matter a chance, so we can survive the scary thought of contaminating the atmosphere of our lovely planet. I love breathing, but I also love breathing clean wonderful fresh air. Don't you?","I wish people be positive about innovating solutions like these for cars . We have to start somewhere ! This invention might have it 's flaws but so did the first car and the first airplane and so on . We have to give inventions of this matter a chance , so we can survive the scary thought of contaminating the atmosphere of our lovely planet . I love breathing , but I also love breathing clean wonderful fresh air . Do n't you ?",1
extreme parenting,"#28 Areg: ""Most people don't seem to realize that Amy Chua's 'Chinese parenting' style is nothing new. It's the same Western parenting style from mid-19th century.... It took us 150 years to move away from all that, just in order to 'rediscover' it again in her essay"" That old Western parenting style that you and others now deride brought us the Industrial Revolution and earlier the Enlightenment. If the Chinese follow that parenting style I'm certain the next Big Thing (postmodernism doesn't count as an achievement) will be Chinese.","# 28 Areg : "" Most people do n't seem to realize that Amy Chua 's ' Chinese parenting ' style is nothing new . It 's the same Western parenting style from mid-19th century .... It took us 150 years to move away from all that , just in order to ' rediscover ' it again in her essay "" That old Western parenting style that you and others now deride brought us the Industrial Revolution and earlier the Enlightenment . If the Chinese follow that parenting style I 'm certain the next Big Thing ( postmodernism does n't count as an achievement ) will be Chinese .",1
foreign language classes,"Agree with poster who said that language study should be mandatory well before college! If a college student is already proficient in two or more languages, then by all means let them study poetry or science or whatever else grabs them. But no US college graduate today should be monolingual since understanding the people(s) of the world is of the utmost value for reasons both practical/geostragtegic and intrinsic. US DOD used to subsidize foreign language study much more than it does today--a pity, and a danger.","Agree with poster who said that language study should be mandatory well before college ! If a college student is already proficient in two or more languages , then by all means let them study poetry or science or whatever else grabs them . But no US college graduate today should be monolingual since understanding the people(s ) of the world is of the utmost value for reasons both practical / geostragtegic and intrinsic . US DOD used to subsidize foreign language study much more than it does today -- a pity , and a danger .",0
globalization,"In the early 80's and well into the 1990's, I frequently traveled from Paris to New York and back. French friends often supplied me with a list of specific American items 'they absolutely needed' and friends in the U.S. would do the same - asking for their favorite French things...Now, with the internet and globalization in full swing, this practice has completely stopped. Today, most of us *living almost anywhere* can simply order most anything 'foreign' on the web...and, more than likely, can actually find that very same item in a store close to where we live... The streets of Paris and New York are looking very much the same today (very boring)...and we're definitely inching closer to the dreaded one world concept. Real glad I experienced life (and the street) before globalization!","In the early 80 's and well into the 1990 's , I frequently traveled from Paris to New York and back . French friends often supplied me with a list of specific American items ' they absolutely needed ' and friends in the U.S. would do the same - asking for their favorite French things ... Now , with the internet and globalization in full swing , this practice has completely stopped . Today , most of us * living almost anywhere * can simply order most anything ' foreign ' on the web ... and , more than likely , can actually find that very same item in a store close to where we live ... The streets of Paris and New York are looking very much the same today ( very boring) ... and we 're definitely inching closer to the dreaded one world concept . Real glad I experienced life ( and the street ) before globalization !",0
sanctions,"Wait, we have trade and diplomatic relations with China, which is by all practical means a dictatorship, but we can't have the same with Cuba? How long are we going to appease the Batista cronies in the United States and heirs? All they care about is their property rights.","Wait , we have trade and diplomatic relations with China , which is by all practical means a dictatorship , but we ca n't have the same with Cuba ? How long are we going to appease the Batista cronies in the United States and heirs ? All they care about is their property rights .",0
schoold,"I'm in my Junior year in High School, and I take the hardest courses my school offers. I average 8 hours of homework every night with 6-7 hours of school in a day. I also work about 3 hours a day. I do not sleep. I spend most of my weekend sleeping, until Sunday where I do 12 hours of homework. I love school and I love learning, and I'd argue the school day needs to be extended. The teachers do not have enough time to teach us all we need to know, especially in AP courses. Thus, we have an incredible amount of homework, depriving us of sleep, and leading to the negative consequences Ms. Carskadon warns. So, as long as teachers have more time to teach while at the same time giving less homework, I'm all for extending the school day.","I 'm in my Junior year in High School , and I take the hardest courses my school offers . I average 8 hours of homework every night with 6 - 7 hours of school in a day . I also work about 3 hours a day . I do not sleep . I spend most of my weekend sleeping , until Sunday where I do 12 hours of homework . I love school and I love learning , and I 'd argue the school day needs to be extended . The teachers do not have enough time to teach us all we need to know , especially in AP courses . Thus , we have an incredible amount of homework , depriving us of sleep , and leading to the negative consequences Ms. Carskadon warns . So , as long as teachers have more time to teach while at the same time giving less homework , I 'm all for extending the school day .",1
