topic,argument,label,tokenized_argument,new_id
people,"""In a culture that seems to be getting dumber and dumber...."" ""Seems""? I don't recall people twenty years ago saying that the cure for unwanted pregnancy was to ban contraception. Or one of our two poltical parties which represents nearly half the population postulating that the cure for our financial crisis is less regulation, etc. The list of stupid and crazy things that litter our current landscape are just too great to even begin to enumerate. Yes, I know people today cannot be openly racist, war-mongerers, etc. Do you really believe that our ""smart bombs"" and ""smart phones"" make us smarter? It's true that thanks to some very smart individuals we have progressed scientifically but let's not confuse this with human progress. In spite of your counter-intuitive optimism we are just as likely to destroy the planet and ourselves ""by accident"" today as we were twenty or fifty years ago. I seriously doubt that even the average person's knowledge of basic geography is better today than that of my grandparents.",0,""" In a culture that seems to be getting dumber and dumber .... "" "" Seems "" ? I do n't recall people twenty years ago saying that the cure for unwanted pregnancy was to ban contraception . Or one of our two poltical parties which represents nearly half the population postulating that the cure for our financial crisis is less regulation , etc . The list of stupid and crazy things that litter our current landscape are just too great to even begin to enumerate . Yes , I know people today can not be openly racist , war - mongerers , etc . Do you really believe that our "" smart bombs "" and "" smart phones "" make us smarter ? It 's true that thanks to some very smart individuals we have progressed scientifically but let 's not confuse this with human progress . In spite of your counter - intuitive optimism we are just as likely to destroy the planet and ourselves "" by accident "" today as we were twenty or fifty years ago . I seriously doubt that even the average person 's knowledge of basic geography is better today than that of my grandparents .",9783
home schoolers,"#1, children educated at home turn out to be better socialized than their public schooled counterparts. They are more likely to vote, more likely to get involved in government, and more likely to volunteer for various charitable activities. And, on average, they are better educated. Sending one's children to a public school is on average, the bad decision. While there are good public schools and good public school teachers, there are also countless schools where children do not learn, are not safe (from other students and teachers), and do not get properly socialized. I know this from countless studies and personal experience. My three children, educated at home from birth, are all national merit finalists and prepared to deal with people in the real world because they were in the real world their entire lives, rather than being segregated by age and demographic in a public (aka government compulsory) school. And, I am the graduate of the esteemed Miami-Dade County Public School system, possibly the most corrupt, crime ridden, drug-infested institution in the country.",1,"# 1 , children educated at home turn out to be better socialized than their public schooled counterparts . They are more likely to vote , more likely to get involved in government , and more likely to volunteer for various charitable activities . And , on average , they are better educated . Sending one 's children to a public school is on average , the bad decision . While there are good public schools and good public school teachers , there are also countless schools where children do not learn , are not safe ( from other students and teachers ) , and do not get properly socialized . I know this from countless studies and personal experience . My three children , educated at home from birth , are all national merit finalists and prepared to deal with people in the real world because they were in the real world their entire lives , rather than being segregated by age and demographic in a public ( aka government compulsory ) school . And , I am the graduate of the esteemed Miami - Dade County Public School system , possibly the most corrupt , crime ridden , drug - infested institution in the country .",9796
your cat,"Make it illegal. I raised 3 beautiful strays, none of which were declawed. My cats are all well cared for, loved, and yea, from time to time I wake up to the sound of claws on my couch. I will say I spoil my cats, not horribly, but they have toys, scratch post, etc. No pet (fur baby) is perfect. So because they claw your couch you rip their fingers out? Sooooo, please don't procreate I don't want to know what you would do to a human child for say wetting the bed, or throwing a temper.....pets have feelings, brains, hearts, etc. Treat them with some respect and understanding. Ask yourself ""what can I do differently to help my cats bad behavior."" I'll also add my cats are loving and have NEVER bitten anyone! They also don't scratch or claw me, in fact 2 out of 3 are especially aware of people are are careful to retract claws when playing/running/jumping near humans. Time and patience. Stop being lazy and cruel.",1,"Make it illegal . I raised 3 beautiful strays , none of which were declawed . My cats are all well cared for , loved , and yea , from time to time I wake up to the sound of claws on my couch . I will say I spoil my cats , not horribly , but they have toys , scratch post , etc . No pet ( fur baby ) is perfect . So because they claw your couch you rip their fingers out ? Sooooo , please do n't procreate I do n't want to know what you would do to a human child for say wetting the bed , or throwing a temper ..... pets have feelings , brains , hearts , etc . Treat them with some respect and understanding . Ask yourself "" what can I do differently to help my cats bad behavior . "" I 'll also add my cats are loving and have NEVER bitten anyone ! They also do n't scratch or claw me , in fact 2 out of 3 are especially aware of people are are careful to retract claws when playing / running / jumping near humans . Time and patience . Stop being lazy and cruel .",9824
speech,RC is right. What if a public employee even publishes a comment supporting the right to burn the Koran on the New York Times website? Does that mean the government should fire him or her? This dangerous precedent will lead to the stifling of free expression and censorship throughout the country.,1,RC is right . What if a public employee even publishes a comment supporting the right to burn the Koran on the New York Times website ? Does that mean the government should fire him or her ? This dangerous precedent will lead to the stifling of free expression and censorship throughout the country .,9862
women,"How large is the (significant) difference between outcomes for a baby born at home and one born in the hospital? And, is it due to the inclusion in this data of incompetent midwives? I have known several women who gave birth at home, and wished to do so myself, but couldn't because of complications. My experience of birthing in a hospital with a male resident was quite unpleasant. He touched me and examined me without asking my permission. He said my membranes had not broken and I was urinating. Every woman who has experienced membranes breaking knows the difference. A woman/midwife wouldn't have done/said these things this. Childbirth is difficult enough without unempathic male doctors.",1,"How large is the ( significant ) difference between outcomes for a baby born at home and one born in the hospital ? And , is it due to the inclusion in this data of incompetent midwives ? I have known several women who gave birth at home , and wished to do so myself , but could n't because of complications . My experience of birthing in a hospital with a male resident was quite unpleasant . He touched me and examined me without asking my permission . He said my membranes had not broken and I was urinating . Every woman who has experienced membranes breaking knows the difference . A woman / midwife would n't have done / said these things this . Childbirth is difficult enough without unempathic male doctors .",9928
home schoolers,"Do seniors who have already paid to send their children to school also deserve a tax break? Homeschooling children is a choice , sending children to private school is a choice. - why should these parents get a tax break? Why don't they just use the money to fund schools so that the highest quallity teachers would want to teach in them?",0,"Do seniors who have already paid to send their children to school also deserve a tax break ? Homeschooling children is a choice , sending children to private school is a choice . - why should these parents get a tax break ? Why do n't they just use the money to fund schools so that the highest quallity teachers would want to teach in them ?",9952
college students ' votes,"It's fine for students to discuss these different political dynamics, the world has all sorts of opinions and to constrain political thought is narrow. Our country is really overly closed with only two big political parties. As far as voting, surely the Massachusetts Democrat Primary is a great example of how young people, students influenced the primary. The Boston area, Amherst, MA and other heavily populated college towns turned out strongly for Bernie Sanders. That was an extremely close race against a very established, heavily favored Hillary Clinton.",1,"It 's fine for students to discuss these different political dynamics , the world has all sorts of opinions and to constrain political thought is narrow . Our country is really overly closed with only two big political parties . As far as voting , surely the Massachusetts Democrat Primary is a great example of how young people , students influenced the primary . The Boston area , Amherst , MA and other heavily populated college towns turned out strongly for Bernie Sanders . That was an extremely close race against a very established , heavily favored Hillary Clinton .",9971
marijuana,"Sorry, don't buy it. Robert L. DuPont profits off of reforming addicts (and their testing), so of course he wants us to believe this rheoretic. I know dozens of people who smoke marijuana, not one heroin addict in that mix. I guess with this logic we can say milk is a gateway to vodka.",1,"Sorry , do n't buy it . Robert L. DuPont profits off of reforming addicts ( and their testing ) , so of course he wants us to believe this rheoretic . I know dozens of people who smoke marijuana , not one heroin addict in that mix . I guess with this logic we can say milk is a gateway to vodka .",9981
a gateway drug,"Sorry, don't buy it. Robert L. DuPont profits off of reforming addicts (and their testing), so of course he wants us to believe this rheoretic. I know dozens of people who smoke marijuana, not one heroin addict in that mix. I guess with this logic we can say milk is a gateway to vodka.",0,"Sorry , do n't buy it . Robert L. DuPont profits off of reforming addicts ( and their testing ) , so of course he wants us to believe this rheoretic . I know dozens of people who smoke marijuana , not one heroin addict in that mix . I guess with this logic we can say milk is a gateway to vodka .",9985
young people,"""This is a rational response to the challenging economic climate."" Herein lies a large part of the problem. We adults need to stop repeating this idea that it's due to the economy. Seriously? My father, who came from less than nothing, with no family to move back in with, built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits. There were no home depots or cell phones to make his life easier. He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family's medical bills with no insurance. All with a 9th grade education. So please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access, public assistance out the wazoo) & start looking within.",0,""" This is a rational response to the challenging economic climate . "" Herein lies a large part of the problem . We adults need to stop repeating this idea that it 's due to the economy . Seriously ? My father , who came from less than nothing , with no family to move back in with , built a home & cared for a very sick child with no insurance or public assistance at a time when inflation & interest rates on loans were double digits . There were no home depots or cell phones to make his life easier . He worked 2 jobs in that terrible economic climate & still managed to build a home & pay all his family 's medical bills with no insurance . All with a 9th grade education . So please , stop blaming this GREAT economy ( low unemployment , low interest rates , strong markets , easy access , public assistance out the wazoo ) & start looking within .",9994
illegal labor,"Factor in the cultural negatives, the governmental (read taxes and free social services) impact, the educational costs (ESL? English is the language of our country.), the crime and the continuing ghettoization of cities (albeit just another sign of the failure of multiculturalism) and most folks would be happy to pay more at the greengrocer for US citizen-picked produce. The mantra of 'jobs Americans don't want' leaves out the 'at that pay' aspect.",0,"Factor in the cultural negatives , the governmental ( read taxes and free social services ) impact , the educational costs ( ESL ? English is the language of our country . ) , the crime and the continuing ghettoization of cities ( albeit just another sign of the failure of multiculturalism ) and most folks would be happy to pay more at the greengrocer for US citizen - picked produce . The mantra of ' jobs Americans do n't want ' leaves out the ' at that pay ' aspect .",9998
taxing capital gains,"This article touches a nerve. For 40 years I've operated a tour company in Canada and ,on account of taxation, was in no hurray to grow the company.One accepts tax on income but when taxed 40% on the additional income that the original income may make, the incentive to expand dissipates.So if this represents the mind frame of a small number entrepreneurs, a lot of jobs, capital and opportunity is not being created.",1,"This article touches a nerve . For 40 years I 've operated a tour company in Canada and , on account of taxation , was in no hurray to grow the company . One accepts tax on income but when taxed 40 % on the additional income that the original income may make , the incentive to expand dissipates . So if this represents the mind frame of a small number entrepreneurs , a lot of jobs , capital and opportunity is not being created .",10019
home schoolers,"While we are at it, why not a tax break for people with no children since their (non-existent) kids do not use the public school system, and they still pay taxes to support it? If people choose not to use tax-payer sponsored education for their kids, do the childless taxpayers have to shoulder the burden of educating their children anyway? Would the country be better off with everyone educating their own kids? If I pay less than my fair share of taxes, am I keeping my own money or stealing it from the country? Wouldn't it be better to be worrying about the deficit, the economy and the lack of jobs? Is there any value to thinking through matters properly anymore?",1,"While we are at it , why not a tax break for people with no children since their ( non - existent ) kids do not use the public school system , and they still pay taxes to support it ? If people choose not to use tax - payer sponsored education for their kids , do the childless taxpayers have to shoulder the burden of educating their children anyway ? Would the country be better off with everyone educating their own kids ? If I pay less than my fair share of taxes , am I keeping my own money or stealing it from the country ? Would n't it be better to be worrying about the deficit , the economy and the lack of jobs ? Is there any value to thinking through matters properly anymore ?",10070
electric cars,"""If they can get the price point below $15k, they'll sell 50 million of them"" Not likely with Li ion batteries anytime within the next five years. The battery pack alone is estimated to cost $15K for all electric vehicles. But, look what happened with computing power over the last 30 years. I see all electric vehicles as being niche vehicles in the US for the next decade or so. Long term is more favorable if the cost of the battery pack can be lowered by a factor of 10.",0,""" If they can get the price point below $ 15k , they 'll sell 50 million of them "" Not likely with Li ion batteries anytime within the next five years . The battery pack alone is estimated to cost $ 15 K for all electric vehicles . But , look what happened with computing power over the last 30 years . I see all electric vehicles as being niche vehicles in the US for the next decade or so . Long term is more favorable if the cost of the battery pack can be lowered by a factor of 10 .",10145
illegal labor,"There is a country-wide stigma against agricultural work. Part of that is due to hold overs from the slavery period. Part of that is due to a perception of minimum wage or less work. What we really need, and are seeing in some of these younger farmers, is a new class of people. People who are extremely intelligent, very hard working, who understand mesh networks, cellular and microbiology, organic chemistry, geology, hydrology, pest control, and synergistic relationships. And we need to get the word out that that's what this new age of farming is all about, and not using ignorant, illegal immigrants.",0,"There is a country - wide stigma against agricultural work . Part of that is due to hold overs from the slavery period . Part of that is due to a perception of minimum wage or less work . What we really need , and are seeing in some of these younger farmers , is a new class of people . People who are extremely intelligent , very hard working , who understand mesh networks , cellular and microbiology , organic chemistry , geology , hydrology , pest control , and synergistic relationships . And we need to get the word out that that 's what this new age of farming is all about , and not using ignorant , illegal immigrants .",10158
school librarians,"I am a retired HS media specialist and I am still asked all the time to help people find things on the Internet. My HS age granddaughter needs help evaluating reference material. Example: Why not depend on Wikipedia only? Libraries and the Internet work together and a library can't exist on its own. Without a person in the facility to keep it going and to teach students its value, it will die. Teacher or media specialist is not the issue. We need to support public education fully. That means teachers, the arts, sports, and the Media Center.",1,"I am a retired HS media specialist and I am still asked all the time to help people find things on the Internet . My HS age granddaughter needs help evaluating reference material . Example : Why not depend on Wikipedia only ? Libraries and the Internet work together and a library ca n't exist on its own . Without a person in the facility to keep it going and to teach students its value , it will die . Teacher or media specialist is not the issue . We need to support public education fully . That means teachers , the arts , sports , and the Media Center .",10230
mother teresa,"She did not even give the dying asprin, while converting them to Catholicism without their knowledge. She was willing to enhance the image of dictators and torturers in exchange for contributions to her order. None of that money was spent on mitigating the suffering of those who came to her. I cannot fathom how anybody could consider her to be saintly. Surely even a cynical Church could find somebody more worthy of sainthood. This canonization tells me that the Church has learned nothing from its time mired in scandal, and is still willing to try smoke and mirrors.",0,"She did not even give the dying asprin , while converting them to Catholicism without their knowledge . She was willing to enhance the image of dictators and torturers in exchange for contributions to her order . None of that money was spent on mitigating the suffering of those who came to her . I can not fathom how anybody could consider her to be saintly . Surely even a cynical Church could find somebody more worthy of sainthood . This canonization tells me that the Church has learned nothing from its time mired in scandal , and is still willing to try smoke and mirrors .",10260
miss america,"""I've also heard the argument that the pageant experience builds confidence and community among the participants; so does ""nerding out"" on the debate team or flashing across a lacrosse field. (And you still get to wear a skirt, if that's your thing.)"" I find it interesting that you use the term ""if that's your thing"" here, and support the girls who choose to build confidence and community through an experience other than pageantry. What if participating in pageants is ""your thing?"" By competing in pageants, I've met some of the most intelligent, hardworking young women in my community. I've gotten involved in my community on multiple levels, not just by promoting my personal platform (Empowering teens to prevent dating violence). And I have gained communication skills that helped me to land a successful job in my career field within weeks of my college graduation. Maybe pageants are ""my thing."" I don't see a problem with that--only the benefits.",1,""" I 've also heard the argument that the pageant experience builds confidence and community among the participants ; so does "" nerding out "" on the debate team or flashing across a lacrosse field . ( And you still get to wear a skirt , if that 's your thing . ) "" I find it interesting that you use the term "" if that 's your thing "" here , and support the girls who choose to build confidence and community through an experience other than pageantry . What if participating in pageants is "" your thing ? "" By competing in pageants , I 've met some of the most intelligent , hardworking young women in my community . I 've gotten involved in my community on multiple levels , not just by promoting my personal platform ( Empowering teens to prevent dating violence ) . And I have gained communication skills that helped me to land a successful job in my career field within weeks of my college graduation . Maybe pageants are "" my thing . "" I do n't see a problem with that -- only the benefits .",10279
noncompete deals,"My first job out of grad school did involve signing a non-compete clause, but it included a provision that the company would continue to pay me for the duration of the non-compete period if the clause was preventing me from getting a new job. This seemed acceptable to me at the time, and when I left I changed fields entirely so it didn't actually matter.",1,"My first job out of grad school did involve signing a non - compete clause , but it included a provision that the company would continue to pay me for the duration of the non - compete period if the clause was preventing me from getting a new job . This seemed acceptable to me at the time , and when I left I changed fields entirely so it did n't actually matter .",10306
privatization,"Been there, done that, worked as a civil servant along side private contractors. Sadly, Nicole Gelinas has nailed it: it's no cure for the real proble: incompetent managers. And, surprise, surprise the managers always keep their jobs after private contractors displace the civil servants doing the grunt work. Somebody's got to mismanage all those contractors, right?",0,"Been there , done that , worked as a civil servant along side private contractors . Sadly , Nicole Gelinas has nailed it : it 's no cure for the real proble : incompetent managers . And , surprise , surprise the managers always keep their jobs after private contractors displace the civil servants doing the grunt work . Somebody 's got to mismanage all those contractors , right ?",10343
illegal labor,"There is only a shortage of agricultural labor at current wages. Raise the wage to a fair one, and legal workers will do it. If US agriculture is unsustainable without abusive labor practices, should we continue to prop up those practices?",0,"There is only a shortage of agricultural labor at current wages . Raise the wage to a fair one , and legal workers will do it . If US agriculture is unsustainable without abusive labor practices , should we continue to prop up those practices ?",10415
people,"All very true but I feel a lot of people have lost the ability to be an ""informed skeptic"" i.e. know when something doesn't seem plausible and be willing to do the work to investigate further. Just look at the controversy over established science for example. It seems to me that lots of folks search out information that conforms to their own viewpoint and accept that, regardless of evidence to the contrary. ""I saw it on the internet, it must be right!""",0,"All very true but I feel a lot of people have lost the ability to be an "" informed skeptic "" i.e. know when something does n't seem plausible and be willing to do the work to investigate further . Just look at the controversy over established science for example . It seems to me that lots of folks search out information that conforms to their own viewpoint and accept that , regardless of evidence to the contrary . "" I saw it on the internet , it must be right ! """,10440
companies,"Genes belong to the human race and other species. They should never be patented, owned or controlled by companies or governments or individuals. They belong in the public domain. They belong to everyone. They should never be used for profitable purposes. Margaret Nwton, MD",0,"Genes belong to the human race and other species . They should never be patented , owned or controlled by companies or governments or individuals . They belong in the public domain . They belong to everyone . They should never be used for profitable purposes . Margaret Nwton , MD",10443
a gateway drug,"The better question is, though, how many people who have used marijuana DO NOT use other illegal drugs. I think the answer would surprise you. Correlation is not causation - the sooner you learn that, the sooner you can get to the real root of our opiate addition problem.",0,"The better question is , though , how many people who have used marijuana DO NOT use other illegal drugs . I think the answer would surprise you . Correlation is not causation - the sooner you learn that , the sooner you can get to the real root of our opiate addition problem .",10461
vaccination,"We are a stupid species. We have known cures right in front of us. Cures for some of the deadliest diseases, and what do we do? We invite them back by not vaccinating our children. It's not the disease that will wipe out us in the end, but our own ignorance.",1,"We are a stupid species . We have known cures right in front of us . Cures for some of the deadliest diseases , and what do we do ? We invite them back by not vaccinating our children . It 's not the disease that will wipe out us in the end , but our own ignorance .",10469
home schoolers,Home schooling isn't only a scam designed to de-fund public schools and punish the teachers' unions for supporting Democratic candidates and policies. It is also a scam by some extremist social conservatives to keep women out if the paid labor force. This proposed tax credit should be called what it is--an increase in government spending. Then let the Republicans try to defend it.,0,Home schooling is n't only a scam designed to de - fund public schools and punish the teachers ' unions for supporting Democratic candidates and policies . It is also a scam by some extremist social conservatives to keep women out if the paid labor force . This proposed tax credit should be called what it is -- an increase in government spending . Then let the Republicans try to defend it .,10523
genes,"Genes belong to the human race and other species. They should never be patented, owned or controlled by companies or governments or individuals. They belong in the public domain. They belong to everyone. They should never be used for profitable purposes. Margaret Nwton, MD",1,"Genes belong to the human race and other species . They should never be patented , owned or controlled by companies or governments or individuals . They belong in the public domain . They belong to everyone . They should never be used for profitable purposes . Margaret Nwton , MD",10531
